,TIPLOC,TOC_New
93,ARMLJCN,GR (8.98%); LS (0.03%); NT (90.89%); WR (0.1%)
94,ARNSIDE,LS (5.13%); NT (94.87%)
95,ARRAM,NT (100.0%)
96,ARUNDEL,SN (100.0%)
97,ARUNDLJ,SN (98.46%); TL (1.45%); ZZ (0.09%)
98,ASBRDGE,NT (28.57%); WR (28.57%); ZZ (42.86%)
99,ASCOT,SW (94.12%); ZZ (5.88%)
100,ASCTUWD,GW (100.0%)
101,ASFDMSX,SW (100.0%)
102,ASHBRYS,EM (0.97%); NT (44.71%); TP (54.32%)
103,ASHCHRC,GW (3.95%); LS (0.3%); WR (0.15%); XC (94.71%); ZZ (0.89%)
104,ASHD,SN (43.75%); SW (56.25%)
105,ASHFCEJ,ES (100.0%)
106,ASHFCWJ,ES (35.11%); SE (64.89%)
107,ASHFKCY,SE (100.0%)
108,ASHFKDY,SE (100.0%)
109,ASHFKY,ZZ (100.0%)
110,ASHH,GW (86.38%); SW (8.08%); WR (0.6%); XC (4.94%)
111,ASHONUL,TP (95.83%); WR (4.17%)
112,ASHTMNJ,NT (33.15%); TP (66.43%); WR (0.42%)
113,ASHUJN,SN (100.0%)
114,ASHVALE,SW (92.73%); ZZ (7.27%)
115,ASHWELC,GN (44.07%); TL (55.93%)
116,ASKAM,NT (100.0%)
117,ASTLEY,AW (21.81%); EM (0.84%); NT (57.34%); TP (18.05%); VT (1.54%); WR (0.33%); ZZ (0.09%)
118,ASTON,AW (5.31%); LM (61.13%); VT (2.05%); WR (0.34%); XC (30.31%); ZZ (0.86%)
119,ATHLNEY,GW (97.81%); LS (0.88%); WR (0.22%); XC (0.22%); ZZ (0.88%)
120,ATHRSTN,CS (21.74%); VT (69.57%); ZZ (8.7%)
121,ATLBRJN,CS (1.91%); LM (16.9%); LS (0.1%); VT (77.41%); WR (0.7%); ZZ (2.97%)
122,ATLBRNJ,LM (100.0%)
123,ATNBROJ,EM (37.5%); NT (62.5%)
124,ATTLBON,EM (98.33%); LE (1.67%)
125,AUDLEYE,LE (27.38%); XC (72.62%)
126,AVIEMRE,SR (80.0%); ZZ (20.0%)
127,AVNCLFF,GW (100.0%)
128,AWRE,AW (37.51%); GW (2.72%); XC (46.23%); ZZ (13.54%)
129,AXMNSEJ,GW (5.78%); SW (94.22%)
130,AXMNSTR,GW (87.1%); SW (12.9%)
131,AXMNSWJ,GW (5.29%); SW (94.71%)
132,AYNHOJ,CH (58.85%); GW (16.31%); LS (0.08%); XC (24.77%)
133,AYRR,SR (100.0%)
134,BAGE,AW (20.5%); NT (34.16%); TP (45.34%)
135,BAGLYFJ,NT (33.15%); TP (66.43%); WR (0.42%)
136,BAGSHOT,SW (100.0%)
137,BALCMTJ,GX (16.35%); SN (40.82%); TL (42.77%); ZZ (0.06%)
138,BALCOMB,GX (11.6%); SN (36.46%); TL (51.93%)
139,BALDOCK,GN (56.41%); TL (43.59%)
140,BALHAM,GX (14.43%); SE (0.61%); SN (84.56%); ZZ (0.4%)
141,BALHJN,GX (0.98%); SN (99.02%)
142,BALSHWL,CS (2.66%); LS (0.42%); NT (42.09%); TP (6.37%); VT (47.09%); WR (1.37%)
143,BAMFORD,EM (45.21%); NT (3.71%); TP (51.08%)
144,BANAVIE,WR (95.24%); ZZ (4.76%)
145,BANGOR,AW (60.0%); VT (40.0%)
146,BANSTED,SN (100.0%)
147,BARASIJ,LS (0.54%); SR (95.66%); ZZ (3.79%)
148,BARKING,CC (99.44%); ZZ (0.56%)
149,BARKNGJ,CC (23.61%); LO (76.02%); WR (0.3%); ZZ (0.07%)
150,BARKRUP,CC (79.01%); LO (20.24%); WR (0.37%); ZZ (0.37%)
151,BARKUPJ,CC (33.33%); WR (33.33%); ZZ (33.33%)
152,BARMING,SE (100.0%)
153,BARNES,SW (98.68%); WR (0.18%); ZZ (1.14%)
154,BAROW,LS (100.0%)
155,BARRY,AW (96.08%); LS (3.92%)
156,BATABAL,SE (100.0%)
157,BATHSPA,GW (88.06%); LS (2.99%); WR (5.97%); XC (2.99%)
158,BATLEY,NT (3.61%); TP (95.18%); WR (1.2%)
159,BATRSH,SN (100.0%)
160,BATRSPJ,GX (10.59%); SE (0.42%); SN (88.99%)
161,BATRSPK,GX (0.51%); SE (1.56%); SN (97.92%)
162,BAYFORD,GN (50.0%); TL (50.0%)
163,BBGHGL,CS (3.11%); LS (0.16%); NT (25.86%); TP (29.71%); VT (38.22%); WR (2.95%)
164,BCKJN,SE (99.06%); ZZ (0.94%)
165,BCKNHMH,SE (91.89%); TL (5.41%); ZZ (2.7%)
166,BCKNHMJ,SE (98.44%); TL (0.74%); ZZ (0.82%)
167,BCKW530,GW (97.18%); WR (0.27%); XC (2.55%)
168,BCKWATR,GW (46.67%); WR (6.67%); XC (46.67%)
169,BCNGNOS,SE (100.0%)
170,BCSTDRL,CH (100.0%)
171,BCSTDWJ,ZZ (100.0%)
172,BCSTGBF,CH (100.0%)
173,BCSTGJN,CH (100.0%)
174,BCSTN,CH (100.0%)
175,BCSTRTN,CH (100.0%)
176,BCSTSJ,CH (100.0%)
177,BDHMPTN,SN (27.27%); SW (50.0%); XC (22.73%)
178,BDMNSTR,GW (100.0%)
179,BDSTNEJ,ME (100.0%)
180,BDSTON,ME (100.0%)
181,BEARLEY,CH (55.56%); LM (44.44%)
182,BEARLYJ,CH (22.93%); LM (74.94%); TY (2.13%)
183,BEATCK,CS (5.61%); TP (42.4%); VT (51.85%); WR (0.14%)
184,BEATCKS,CS (5.61%); TP (42.4%); VT (51.85%); WR (0.14%)
185,BEDFDM,EM (98.48%); ZZ (1.52%)
186,BEDFDN,EM (99.25%); ZZ (0.75%)
187,BEDFDS,EM (51.79%); TL (47.68%); ZZ (0.53%)
188,BEDYN,GW (98.67%); WR (0.44%); ZZ (0.89%)
189,BEDYNRS,GW (100.0%)
190,BEGHTJN,EM (75.67%); NT (6.03%); XC (15.62%); ZZ (2.68%)
191,BEKSBRN,SE (100.0%)
192,BELFORD,CS (1.14%); GR (57.25%); LD (8.82%); TP (8.34%); WR (0.09%); XC (24.36%)
193,BELM,SN (100.0%)
194,BELNGHM,SE (93.03%); TL (1.15%); ZZ (5.82%)
195,BELVEDR,SE (26.53%); TL (73.47%)
196,BELWTRJ,EM (100.0%)
197,BEMPTON,NT (100.0%)
198,BENHARJ,CS (4.08%); SR (83.39%); VT (3.61%); XC (5.64%); ZZ (3.29%)
199,BERKHMD,CS (9.57%); LM (15.31%); VT (75.12%)
200,BERWICK,SN (100.0%)
201,BERYDNJ,SR (97.1%); ZZ (2.9%)
202,BESJOHN,ZZ (100.0%)
203,BESSCRJ,EM (86.02%); GR (13.98%)
204,BESTNSJ,EM (68.41%); NT (1.08%); XC (30.51%)
205,BESTTSB,AW (71.75%); LS (3.21%); VT (22.79%); ZZ (2.25%)
206,BEVERLY,NT (100.0%)
207,BEXHILL,SN (100.0%)
208,BEXLEY,SE (100.0%)
209,BGLWJN,GW (94.9%); XC (5.1%)
210,BGRN,LM (45.53%); WR (0.08%); XC (53.93%); ZZ (0.47%)
211,BHAMINT,LM (81.08%); XC (18.92%)
212,BHAMJEW,CH (40.78%); LM (59.22%)
213,BHAMMRS,LM (95.21%); TY (4.79%)
214,BHAMNWS,LM (62.5%); VT (29.17%); WR (4.17%); ZZ (4.17%)
215,BHAMSNH,CH (50.0%); LM (50.0%)
216,BHAMSYJ,ZZ (100.0%)
217,BHLP,SR (95.38%); ZZ (4.62%)
218,BICKLEY,SE (93.2%); TL (5.83%); ZZ (0.97%)
219,BICKLYJ,SE (71.38%); TL (27.22%); ZZ (1.4%)
220,BIGLSWD,CS (0.61%); GC (9.98%); GN (1.43%); GR (75.63%); HT (6.9%); LD (5.09%); ZZ (0.36%)
221,BILBROK,AW (16.42%); LM (83.58%)
222,BILSHST,SN (100.0%)
223,BINGHAM,EM (100.0%)
224,BIRCHWD,EM (87.33%); NT (5.85%); TP (6.82%)
225,BISHPTN,SR (20.0%); ZZ (80.0%)
226,BISLND,CS (7.22%); GR (21.36%); SR (50.65%); XC (11.54%); ZZ (9.24%)
227,BITERNE,GW (36.36%); SW (63.64%)
228,BKBY,EM (36.62%); TP (60.48%); ZZ (2.9%)
229,BKNHRST,LS (0.39%); SW (33.91%); XC (65.7%)
230,BKSWELL,LM (9.62%); VT (61.11%); WR (0.18%); XC (28.96%); ZZ (0.13%)
231,BLAIRHL,CS (100.0%)
232,BLAKEDN,CH (13.6%); LM (81.57%); LS (0.4%); XC (4.43%)
233,BLANTYR,SR (100.0%)
234,BLARATH,GR (14.23%); SR (79.05%); ZZ (6.72%)
235,BLAYDON,GR (8.5%); LS (0.3%); NT (90.44%); WR (0.76%)
236,BLBGJN,GW (86.59%); LS (0.71%); SW (11.85%); WR (0.14%); XC (0.14%); ZZ (0.57%)
237,BLCHSRD,LO (100.0%)
238,BLCKDRJ,NT (93.02%); VT (6.98%)
239,BLCMJN,SN (100.0%)
240,BLDHR31,GW (95.33%); XC (4.67%)
241,BLDHU,GW (95.49%); XC (4.51%)
242,BLEMOR,LS (1.26%); NT (96.86%); WR (1.89%)
243,BLFD,CS (5.35%); GR (4.28%); SR (90.37%)
244,BLFR,TL (100.0%)
245,BLFRJN,SE (2.68%); TL (97.32%)
246,BLGRVE,CS (19.69%); SR (78.74%); ZZ (1.57%)
247,BLIEURD,SW (23.33%); XC (76.67%)
248,BLKB,LS (50.0%); NT (50.0%)
249,BLKBDJN,LS (0.08%); NT (99.39%); WR (0.53%)
250,BLKBNBJ,NT (100.0%)
251,BLKHTH,SE (97.46%); ZZ (2.54%)
252,BLKST,LM (37.1%); VT (4.52%); XC (57.47%); ZZ (0.9%)
253,BLNGHMJ,GC (25.16%); GR (2.99%); NT (71.86%)
254,BLOXWCH,LM (100.0%)
255,BLRD,NT (63.16%); TP (36.84%)
256,BLTCHLY,CS (1.34%); LM (18.89%); LS (0.12%); VT (78.3%); WR (0.57%); ZZ (0.78%)
257,BLTRNAB,SE (100.0%)
258,BLUANCR,SE (75.75%); SN (0.78%); TL (23.47%)
259,BLYBDGE,EM (100.0%)
260,BMBRBDG,NT (100.0%)
261,BMHL,NT (35.29%); XC (64.71%)
262,BMLY,LS (0.37%); SW (21.91%); XC (76.59%); ZZ (1.12%)
263,BNBR,CH (50.0%); XC (50.0%)
264,BNBRDJ,CH (57.26%); GW (22.3%); LS (0.13%); XC (20.32%)
265,BNBRRJN,CH (63.66%); LS (0.1%); XC (36.23%)
266,BNDON,EM (98.62%); LE (1.38%)
267,BNHAM,GW (83.44%); HX (3.82%); LS (0.32%); XR (1.91%); ZZ (10.51%)
268,BNHL,SR (100.0%)
269,BNHTX,CH (46.32%); LM (51.43%); TY (0.28%); XC (1.97%)
270,BNKJN,LS (100.0%)
271,BNTBY,EM (57.41%); TP (5.56%); ZZ (37.04%)
272,BNTEY,SW (100.0%)
273,BNTFORD,SW (61.64%); WR (11.95%); ZZ (26.42%)
274,BNWDJN,AW (12.71%); GW (40.32%); LS (0.13%); WR (0.06%); XC (46.38%); ZZ (0.39%)
275,BODM042,GW (97.37%); ZZ (2.63%)
276,BODM043,GW (98.26%); ZZ (1.74%)
277,BODMNPW,GW (100.0%)
278,BOGSTON,SR (100.0%)
279,BOLTON,NT (7.77%); TP (90.94%); VT (1.29%)
280,BOMO,LS (12.5%); SW (87.5%)
281,BONDST,XR (100.0%)
282,BONENDJ,CS (0.86%); LM (47.49%); LS (0.08%); VT (50.26%); WR (0.36%); ZZ (0.95%)
283,BOOTLBJ,EM (1.0%); NT (74.37%); TP (24.64%)
284,BOOTLE,NT (100.0%)
285,BOPEEPJ,SE (41.74%); SN (58.26%)
286,BORMRKJ,SE (100.0%)
287,BOROBDR,GR (33.33%); TP (66.67%)
288,BORWGAW,SE (86.51%); ZZ (13.49%)
289,BOSHAM,SN (100.0%)
290,BOTESWJ,EM (100.0%)
291,BOTLEY,GW (25.64%); SN (37.61%); SW (8.55%); XC (28.21%)
292,BOURNVL,XC (100.0%)
293,BOUTHMJ,EM (78.98%); GR (21.02%)
294,BOWESPK,GC (3.37%); GN (4.1%); GR (67.5%); HT (6.08%); LD (11.42%); TL (6.37%); ZZ (1.17%)
295,BOWJ,CC (5.54%); LE (49.63%); LO (0.9%); XR (43.94%)
296,BOWSFLD,GC (0.15%); GR (2.16%); NT (73.88%); TP (23.8%)
297,BOXHAWH,SN (100.0%)
298,BRACKNL,SW (96.3%); ZZ (3.7%)
299,BRAGJN,GC (1.53%); GN (90.71%); HT (0.11%); LD (0.77%); TL (5.79%); ZZ (1.09%)
300,BRANKSM,LS (0.24%); SW (99.76%)
301,BRBG,WR (100.0%)
302,BRBY,LO (97.18%); ZZ (2.82%)
303,BRBYPK,LO (97.18%); ZZ (2.82%)
304,BRCKLAJ,SE (0.77%); SN (46.99%); TL (52.24%)
305,BRCLEJN,NT (100.0%)
306,BRDFDJN,GW (97.68%); LS (0.55%); WR (0.11%); XC (0.11%); ZZ (1.55%)
307,BRDFDOA,GW (25.0%); LS (8.33%); XC (8.33%); ZZ (58.33%)
308,BRDGWTR,GW (20.21%); LS (1.18%); WR (0.59%); XC (77.58%); ZZ (0.44%)
309,BRDSLYJ,LM (33.33%); WR (0.17%); XC (65.66%); ZZ (0.84%)
310,BRENTCJ,EM (75.0%); ZZ (25.0%)
311,BREWRYS,NT (98.15%); ZZ (1.85%)
312,BRFLD,AW (99.8%); ZZ (0.2%)
313,BRFRY,CS (5.22%); GR (15.45%); SR (67.95%); XC (7.72%); ZZ (3.65%)
314,BRFT,GR (11.43%); HT (2.86%); NT (55.71%); TP (30.0%)
315,BRGEND,AW (55.0%); GW (43.0%); LS (2.0%)
316,BRGHLRD,SN (100.0%)
317,BRGHTN,SN (100.0%)
318,BRGLJN,NT (13.45%); TP (71.43%); XC (15.13%)
319,BRHD,VT (72.73%); ZZ (27.27%)
320,BRHLJN,EM (76.46%); NT (5.83%); XC (15.12%); ZZ (2.59%)
321,BRHLSJN,ZZ (100.0%)
322,BRHM,SN (97.53%); ZZ (2.47%)
323,BRHOUSE,GC (100.0%)
324,BRIMSDN,LE (100.0%)
325,BRINKLW,CS (0.97%); LM (17.22%); LS (0.1%); VT (78.88%); WR (0.72%); ZZ (2.1%)
326,BRITFWJ,AW (95.12%); LS (4.88%)
327,BRIXTON,SE (92.62%); SN (2.5%); TL (1.84%); WR (0.08%); ZZ (2.96%)
328,BRKMNPK,CS (0.61%); GN (15.5%); GR (22.19%); HT (0.61%); LD (2.43%); TL (58.05%); ZZ (0.61%)
329,BRKNHDC,ME (100.0%)
330,BRKNHDN,ME (100.0%)
331,BRKSTEJ,EM (100.0%)
332,BRKWDLE,SW (92.59%); ZZ (7.41%)
333,BRKWOOD,SW (73.74%); ZZ (26.26%)
334,BRLANDS,SW (100.0%)
335,BRLANJN,SW (99.58%); ZZ (0.42%)
336,BRLYJN,NT (12.1%); TP (87.66%); WR (0.07%); ZZ (0.17%)
337,BRLYWJN,GC (16.8%); NT (65.61%); TP (17.37%); WR (0.22%)
338,BRMCRSS,NT (100.0%)
339,BRMPTNF,GR (5.85%); LS (0.21%); NT (93.42%); WR (0.52%)
340,BRMSGRV,LM (1.13%); XC (98.02%); ZZ (0.85%)
341,BRNHPSJ,SE (100.0%)
342,BRNHRST,SE (100.0%)
343,BROCKLY,LO (18.49%); SN (24.52%); TL (56.99%)
344,BROMLYS,SE (44.48%); TL (26.16%); ZZ (29.36%)
345,BROUGH,GR (33.33%); HT (2.78%); NT (33.33%); TP (30.56%)
346,BROXBNJ,LE (100.0%)
347,BROXBRN,LE (100.0%)
348,BRSCGHB,NT (100.0%)
349,BRSR,SE (100.0%)
350,BRSTLEJ,GW (88.71%); LS (0.1%); WR (0.17%); XC (10.62%); ZZ (0.42%)
351,BRSTLTM,GW (63.16%); ZZ (36.84%)
352,BRSTLWJ,GW (79.54%); LS (0.3%); WR (0.15%); XC (19.89%); ZZ (0.11%)
353,BRSTPWY,GW (83.87%); WR (3.23%); XC (3.23%); ZZ (9.68%)
354,BRTLYJN,CS (0.78%); GC (0.13%); GR (43.21%); LD (6.47%); LS (0.06%); NT (7.63%); TP (20.15%); WR (0.23%); XC (21.22%); ZZ (0.13%)
355,BRTWOOD,LE (95.12%); XR (4.88%)
356,BRUNDAL,LE (100.0%)
357,BRUTON,GW (100.0%)
358,BRWCKUT,CS (2.69%); GR (59.42%); LD (20.85%); WR (0.22%); XC (16.82%)
359,BRWHINS,GC (13.93%); GR (9.44%); NT (76.63%)
360,BSBYJN,LM (45.59%); LS (0.55%); VT (23.55%); WR (0.14%); XC (27.82%); ZZ (2.36%)
361,BSCTJN,ZZ (100.0%)
362,BSCTSTA,AW (2.11%); LM (92.29%); LS (0.27%); VT (2.05%); WR (0.14%); XC (3.14%)
363,BSDN,SR (100.0%)
364,BSHB,SR (99.81%); ZZ (0.19%)
365,BSHPSCS,LE (100.0%)
366,BSHPSFD,LE (100.0%)
367,BSNGSTK,LS (0.32%); SW (82.43%); XC (4.95%); ZZ (12.3%)
368,BSTD,SE (100.0%)
369,BSTWDPJ,EM (100.0%)
370,BTCHWTH,GW (100.0%)
371,BTHGATE,CS (100.0%)
372,BTHGEJ,SR (100.0%)
373,BTHLYJN,EM (40.44%); LM (51.68%); NT (3.45%); VT (2.99%); XC (1.45%)
374,BTHM990,GW (97.51%); LS (0.28%); XC (0.28%); ZZ (1.94%)
375,BTHMPTJ,GW (98.22%); LS (0.37%); WR (0.3%); XC (0.07%); ZZ (1.04%)
376,BTHNLGR,CC (2.86%); LE (61.07%); LO (4.33%); XR (31.74%)
377,BTLYJN,GR (1.34%); HT (0.11%); NT (65.27%); TP (31.71%); ZZ (1.57%)
378,BTNUNNJ,XC (60.71%); ZZ (39.29%)
379,BTNUNSJ,VT (20.39%); XC (79.22%); ZZ (0.39%)
380,BTSDSJN,NT (100.0%)
381,BULWLSJ,EM (100.0%)
382,BURGESH,GX (60.8%); SN (27.86%); TL (11.08%); ZZ (0.25%)
383,BURLYIW,NT (100.0%)
384,BURSLDN,GW (36.36%); SW (63.64%)
385,BURTNLJ,ZZ (100.0%)
386,BURTNOT,WR (0.41%); XC (92.98%); ZZ (6.61%)
387,BUSBY,SR (100.0%)
388,BUSBYJ,SR (98.55%); VT (1.05%); ZZ (0.39%)
389,BUSHEY,CS (6.94%); LM (27.43%); LO (1.39%); SN (9.72%); VT (54.51%)
390,BUSHYDC,LO (100.0%)
391,BUXTNO1,NT (100.0%)
392,BWLDJN,SR (100.0%)
393,BXLYHTH,SE (100.0%)
394,BYFLANH,SW (96.22%); WR (0.3%); ZZ (3.48%)
395,BYREHJ,SR (100.0%)
396,BYSTJN,LE (63.04%); LO (36.96%)
397,CAARMNT,CS (3.55%); GR (10.51%); SR (77.77%); XC (5.68%); ZZ (2.49%)
398,CADOXTN,AW (96.3%); LS (3.7%)
399,CAMB177,GN (43.14%); TL (56.86%)
400,CAMBDGE,GN (8.06%); LE (91.94%)
401,CAMBDNJ,GN (26.27%); LE (61.91%); TL (11.81%)
402,CAMBNTH,GN (10.5%); LE (8.61%); XC (80.89%)
403,CAMHTH,LE (69.33%); LO (30.67%)
404,CANALJ,LO (100.0%)
405,CANLEY,LM (2.08%); VT (62.5%); XC (35.42%)
406,CANRDJ,SE (90.49%); TL (3.83%); ZZ (5.68%)
407,CANT637,AW (90.91%); ZZ (9.09%)
408,CANWHRF,XR (100.0%)
409,CARDFQS,AW (100.0%)
410,CARLCUR,NT (100.0%)
411,CARLILE,CS (90.48%); WR (9.52%)
412,CARLLRJ,GR (4.4%); LS (0.47%); NT (94.5%); WR (0.63%)
413,CARLUBJ,LS (28.57%); WR (71.43%)
414,CARLUJN,WR (100.0%)
415,CARMYLE,SR (36.59%); TP (28.05%); VT (30.49%); WR (4.88%)
416,CARPSJN,LE (100.0%)
417,CARRBDG,CS (9.16%); GR (13.19%); SR (70.33%); ZZ (7.33%)
418,CASTLFD,TP (77.54%); WR (3.81%); XC (18.64%)
419,CATFBDG,SE (100.0%)
420,CATFORD,SE (79.07%); TL (18.6%); ZZ (2.33%)
421,CAVRSWL,EM (100.0%)
422,CBAY,AW (87.8%); LS (4.88%); VT (7.32%)
423,CBGH,SN (100.0%)
424,CBOMJN,VT (2.69%); WR (0.06%); XC (97.04%); ZZ (0.21%)
425,CBORNE,GW (60.61%); XC (39.39%)
426,CBORR10,GW (94.78%); XC (5.22%)
427,CBORSR6,GW (94.7%); XC (5.3%)
428,CBRIJN,SE (41.8%); TL (56.37%); ZZ (1.83%)
429,CBRK,GW (100.0%)
430,CCARY,GW (90.86%); LS (1.72%); SW (5.34%); WR (0.34%); XC (0.34%); ZZ (1.38%)
431,CCRT,SR (100.0%)
432,CCRTWJN,SR (100.0%)
433,CDNRPKJ,WR (100.0%)
434,CDON,EM (25.81%); XC (74.19%)
435,CDWL718,GN (87.5%); TL (12.5%)
436,CFPK,SE (79.07%); TL (18.6%); ZZ (2.33%)
437,CFTNRJN,LO (36.64%); SE (36.08%); SN (1.02%); TL (25.1%); ZZ (1.16%)
438,CHALLOW,GW (99.44%); LS (0.17%); WR (0.07%); ZZ (0.33%)
